year,economicActivity,employment,hours_worked
1997,Crop and animal production,426795,5.871
1998,Crop and animal production,416130,5.926
1999,Crop and animal production,402220,5.789
2000,Crop and animal production,370360,5.803
2001,Crop and animal production,338810,5.805
2002,Crop and animal production,344905,5.614
2003,Crop and animal production,341810,5.655
2004,Crop and animal production,334940,5.751
2005,Crop and animal production,336785,5.74
2006,Crop and animal production,329655,5.688
2007,Crop and animal production,330295,5.674
2008,Crop and animal production,320905,5.649
2009,Crop and animal production,319085,5.584
2010,Crop and animal production,314105,5.471
2011,Crop and animal production,317035,5.438
2012,Crop and animal production,313380,5.532
2013,Crop and animal production,329245,5.501
2014,Crop and animal production,303615,5.523
2015,Crop and animal production,298270,5.584
2016,Crop and animal production,307370,5.463
2017,Crop and animal production,306930,5.381
2018,Crop and animal production,299065,5.247
2019,Crop and animal production,301595,5.249
1997,Forestry and logging,66765,5.819
1998,Forestry and logging,62370,5.773
1999,Forestry and logging,65825,5.805
2000,Forestry and logging,62415,5.874
2001,Forestry and logging,58515,5.868
2002,Forestry and logging,58700,5.762
2003,Forestry and logging,56625,5.844
2004,Forestry and logging,57065,5.937
2005,Forestry and logging,56985,5.803
2006,Forestry and logging,49920,5.937
2007,Forestry and logging,44955,5.973
2008,Forestry and logging,41575,5.841
2009,Forestry and logging,35050,5.784
2010,Forestry and logging,35070,5.748
2011,Forestry and logging,36285,5.781
2012,Forestry and logging,32655,5.836
2013,Forestry and logging,32595,5.986
2014,Forestry and logging,31750,5.934
2015,Forestry and logging,31955,6.063
2016,Forestry and logging,33185,6.011
2017,Forestry and logging,32400,5.795
2018,Forestry and logging,32845,5.94
2019,Forestry and logging,30545,5.888
1997,"Fishing, hunting and trapping",19255,6.827
1998,"Fishing, hunting and trapping",19390,6.816
1999,"Fishing, hunting and trapping",18825,6.932
2000,"Fishing, hunting and trapping",17740,6.964
2001,"Fishing, hunting and trapping",16470,7.09
2002,"Fishing, hunting and trapping",18190,6.945
2003,"Fishing, hunting and trapping",18075,6.795
2004,"Fishing, hunting and trapping",17350,6.781
2005,"Fishing, hunting and trapping",17695,6.726
2006,"Fishing, hunting and trapping",17300,6.907
2007,"Fishing, hunting and trapping",15205,6.564
2008,"Fishing, hunting and trapping",14075,6.644
2009,"Fishing, hunting and trapping",12270,6.581
2010,"Fishing, hunting and trapping",12430,6.759
2011,"Fishing, hunting and trapping",12445,6.677
2012,"Fishing, hunting and trapping",13245,6.521
2013,"Fishing, hunting and trapping",13325,6.523
2014,"Fishing, hunting and trapping",13645,6.592
2015,"Fishing, hunting and trapping",12945,6.838
2016,"Fishing, hunting and trapping",12735,6.466
2017,"Fishing, hunting and trapping",13400,6.562
2018,"Fishing, hunting and trapping",13245,6.559
2019,"Fishing, hunting and trapping",12935,6.534
1997,Support activities for agriculture and forestry,43725,4.866
1998,Support activities for agriculture and forestry,45540,4.959
1999,Support activities for agriculture and forestry,44500,4.923
2000,Support activities for agriculture and forestry,39935,4.992
2001,Support activities for agriculture and forestry,37110,5.033
2002,Support activities for agriculture and forestry,39120,4.948
2003,Support activities for agriculture and forestry,40920,4.923
2004,Support activities for agriculture and forestry,39465,5.079
2005,Support activities for agriculture and forestry,39435,5.025
2006,Support activities for agriculture and forestry,39825,5.06
2007,Support activities for agriculture and forestry,38165,5.038
2008,Support activities for agriculture and forestry,38035,5.003
2009,Support activities for agriculture and forestry,36200,5.06
2010,Support activities for agriculture and forestry,35340,5.077
2011,Support activities for agriculture and forestry,35660,5.005
2012,Support activities for agriculture and forestry,33920,5.178
2013,Support activities for agriculture and forestry,34845,5.159
2014,Support activities for agriculture and forestry,36265,5.11
2015,Support activities for agriculture and forestry,37270,5.068
2016,Support activities for agriculture and forestry,40895,5.055
2017,Support activities for agriculture and forestry,40890,5.214
2018,Support activities for agriculture and forestry,41930,5.025
2019,Support activities for agriculture and forestry,40945,4.997
1997,Oil and gas extraction,33480,5.997
1998,Oil and gas extraction,31085,5.658
1999,Oil and gas extraction,32895,5.693
2000,Oil and gas extraction,34390,5.868
2001,Oil and gas extraction,41885,5.923
2002,Oil and gas extraction,39880,5.803
2003,Oil and gas extraction,45935,5.855
2004,Oil and gas extraction,50585,5.849
2005,Oil and gas extraction,59930,5.984
2006,Oil and gas extraction,66050,5.838
2007,Oil and gas extraction,77565,5.775
2008,Oil and gas extraction,78725,5.764
2009,Oil and gas extraction,79310,5.619
2010,Oil and gas extraction,77755,5.822
2011,Oil and gas extraction,87160,5.797
2012,Oil and gas extraction,90170,5.882
2013,Oil and gas extraction,85460,5.844
2014,Oil and gas extraction,81080,5.912
2015,Oil and gas extraction,77415,5.847
2016,Oil and gas extraction,66810,5.69
2017,Oil and gas extraction,72235,5.77
2018,Oil and gas extraction,73080,5.879
2019,Oil and gas extraction,72770,5.847
1997,Mining and quarrying (except oil and gas),61900,5.647
1998,Mining and quarrying (except oil and gas),55520,5.726
1999,Mining and quarrying (except oil and gas),50500,5.71
2000,Mining and quarrying (except oil and gas),49410,5.655
2001,Mining and quarrying (except oil and gas),47920,5.726
2002,Mining and quarrying (except oil and gas),44925,5.83
2003,Mining and quarrying (except oil and gas),41915,5.729
2004,Mining and quarrying (except oil and gas),43525,5.871
2005,Mining and quarrying (except oil and gas),47380,5.855
2006,Mining and quarrying (except oil and gas),52350,5.847
2007,Mining and quarrying (except oil and gas),50950,5.756
2008,Mining and quarrying (except oil and gas),55105,5.901
2009,Mining and quarrying (except oil and gas),50160,5.803
2010,Mining and quarrying (except oil and gas),53805,5.863
2011,Mining and quarrying (except oil and gas),56045,5.945
2012,Mining and quarrying (except oil and gas),55980,5.964
2013,Mining and quarrying (except oil and gas),70130,6.049
2014,Mining and quarrying (except oil and gas),69170,5.921
2015,Mining and quarrying (except oil and gas),63110,5.934
2016,Mining and quarrying (except oil and gas),68575,5.888
2017,Mining and quarrying (except oil and gas),70685,5.929
2018,Mining and quarrying (except oil and gas),73585,5.893
2019,Mining and quarrying (except oil and gas),74245,6.066
1997,Support activities for mining and oil and gas extraction,50400,6.868
1998,Support activities for mining and oil and gas extraction,49695,6.263
1999,Support activities for mining and oil and gas extraction,43170,6.392
2000,Support activities for mining and oil and gas extraction,51035,6.855
2001,Support activities for mining and oil and gas extraction,54070,6.896
2002,Support activities for mining and oil and gas extraction,54550,6.545
2003,Support activities for mining and oil and gas extraction,56880,6.921
2004,Support activities for mining and oil and gas extraction,63200,6.951
2005,Support activities for mining and oil and gas extraction,67300,6.89
2006,Support activities for mining and oil and gas extraction,83710,6.751
2007,Support activities for mining and oil and gas extraction,78735,6.647
2008,Support activities for mining and oil and gas extraction,86510,6.616
2009,Support activities for mining and oil and gas extraction,81015,6.203
2010,Support activities for mining and oil and gas extraction,88225,6.562
2011,Support activities for mining and oil and gas extraction,99020,6.71
