countryISO3,countryName,year,classification,economicActivity,employment,hoursWorked,sourceEmp,sourceNoteEmp,classifNoteEmp,statusNoteEmp,indicatorNoteEmp,sourceHrs,sourceNoteHrs,statusNoteHrs,statusNoteHrs,indicatorNoteHrs
ABW,Aruba,2007,ISIC-Rev.3.1,"agriculture, hunting and forestry",352.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,fishing,,,LFS - Labour Force Survey,Data reference period: October,,Not significant,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,mining and quarrying,17.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,manufacturing,3246.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,"electricity, gas and water supply",699.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,construction,6500.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,"wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",7283.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,hotels and restaurants,8712.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,"transport, storage and communications",2832.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,financial intermediation,1905.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,"real estate, renting and business activities",6811.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,public administration and defence; compulsory social security,3983.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,education,1589.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,health and social work,3177.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,"other community, social and personal service activities",3218.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,activities of private households as employers and undifferentiated production activities of private households,1163.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,extraterritorial organizations and bodies,33.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2007,ISIC-Rev.3.1,not elsewhere classified,87.0,,LFS - Labour Force Survey,Data reference period: October,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,"agriculture, hunting and forestry",286.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,manufacturing,1933.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,"electricity, gas and water supply",564.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,construction,4231.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,"wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",7849.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,hotels and restaurants,9692.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,"transport, storage and communications",3442.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,financial intermediation,2073.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,"real estate, renting and business activities",4891.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,public administration and defence; compulsory social security,4272.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,education,2011.0000000000002,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,health and social work,2296.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,"other community, social and personal service activities",2503.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,activities of private households as employers and undifferentiated production activities of private households,1734.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2011,ISIC-Rev.3.1,not elsewhere classified,138.0,,LFS - Labour Force Survey,,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,"agriculture, hunting and forestry",179.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,fishing,34.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,mining and quarrying,38.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,manufacturing,2439.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,"electricity, gas and water supply",501.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,construction,3892.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
