year,economicActivity,employment,hours_worked
2010,Agriculture,2260000,5.328571429
2010,Forestry,80000,5.685714286
2010,"Fisheries, except aquaculture",130000,5.257142857
2010,Aquaculture,60000,6.057142857
2010,Mining and quarrying of stone and gravel,30000,6.457142857
2010,Construction,4980000,6.314285714
2010,Manufacture of food,1360000,5.771428571
2010,"Manufacture of beverages, tobacco and feed",140000,6.071428571
2010,Manufacture of textile mill products,540000,5.728571429
2010,"Manufacture of lumber and wood products, except furniture",150000,6.085714286
2010,Manufacture of furniture and fixtures,160000,5.942857143
2010,"Manufacture of pulp, paper and paper products",270000,5.914285714
2010,Printing and allied industries,500000,6.242857143
2010,Manufacture of chemical and allied products,580000,6.042857143
2010,Manufacture of petroleum and coal products,30000,6.128571429
2010,"Manufacture of plastic products, except otherwise classified",440000,5.942857143
2010,Manufacture of rubber products,160000,5.871428571
2010,"Manufacture of leather tanning, leather products and fur skins",60000,5.785714286
2010,"Manufacture of ceramic, stone and clay products",330000,6.028571429
2010,Manufacture of iron and steel,230000,6.057142857
2010,Manufacture of non-ferrous metals and products,180000,6.114285714
2010,Manufacture of fabricated metal products,980000,5.971428571
2010,Manufacture of general-purpose machinery,340000,6.1
2010,Manufacture of production machinery,700000,6.171428571
2010,Manufacture of business oriented machinery,350000,6.114285714
2010,"Electronic parts, devices and electronic circuits",700000,6.157142857
2010,"Manufacture of electrical machinery, equipment and supplies",630000,6.057142857
2010,Manufacture of information and communication electronics equipment,290000,6.128571429
2010,Manufacture of transportation equipment,1000000,6.157142857
2010,Miscellaneous manufacturing industries,360000,5.614285714
2010,"Electricity, gas, heat supply and water",340000,5.885714286
2010,Communications,220000,6.142857143
2010,Broadcasting,80000,6.485714286
2010,Information services,1250000,6.328571429
2010,Internet based services,80000,6.485714286
2010,"Video picture, sound information, character information production and distribution",330000,6.528571429
2010,Railway transport,260000,5.914285714
2010,Road passenger transport,610000,6.857142857
2010,Road freight transport,1810000,6.842857143
2010,Water transport,70000,6.557142857
2010,Air transport,50000,5.442857143
2010,Warehousing,170000,5.785714286
2010,Services incidental to transport,300000,5.842857143
2010,"Postal activities, including mail delivery",240000,5.314285714
2010,Wholesale trade,3310000,6.3
2010,"Retail trade, general merchandise",500000,4.628571429
2010,"Retail trade (dry goods, apparel and apparel accessories)",660000,5.6
2010,Retail trade (food and beverage),2710000,5.042857143
2010,Retail trade (machinery and equipment),910000,6.742857143
2010,Miscellaneous retail trade,2490000,5.457142857
2010,Finance and insurance,1630000,5.914285714
2010,Real estate,830000,5.171428571
2010,Goods rental and leasing,270000,5.914285714
2010,Scientific and development research institutes,190000,5.9
2010,"Professional services, N.E.C.",790000,5.671428571
2010,Advertising,170000,6.657142857
2010,"Technical services, N.E.C.",830000,6.1
2010,Accommodations,570000,5.9
2010,Eating and drinking places,2820000,5.214285714
2010,Food take out and delivery services,470000,4.842857143
2010,"Laundry, beauty and bath services",1150000,5.885714286
2010,Miscellaneous living-related and personal services,450000,5.371428571
2010,Services for amusement and hobbies,790000,5.228571429
2010,School education,1990000,6.028571429
2010,"Miscellaneous education, learning support",890000,4.014285714
2010,Medical and other health services,3420000,5.557142857
2010,Public health and hygiene,100000,4.842857143
2010,Social insurance and social welfare,3010000,5.071428571
2010,Postal services,160000,5.328571429
2010,"Cooperative associations, N.E.C.",290000,6.014285714
2010,Waste disposal business,310000,5.942857143
2010,Automobile maintenance services,330000,6.428571429
2010,"Machine, etc. repair services, except otherwise classified",290000,6.114285714
2010,Employment and worker dispatching services,980000,5.2
2010,Miscellaneous business services,2110000,4.942857143
2010,"Political, business and cultural organizations",260000,5.271428571
2010,Religion,190000,5.542857143
2010,Miscellaneous services,40000,4.671428571
2010,Foreign governments and international agencies in Japan,20000,5.642857143
2010,National government services,630000,6.014285714
2010,Local government services,1570000,6.057142857
2010,Industries unable to classify,610000,5.385714286
2012,Agriculture,2160000,5.314285714
2012,Forestry,80000,5.757142857
2012,"Fisheries, except aquaculture",120000,5.314285714
2012,Aquaculture,40000,6.085714286
2012,Mining and quarrying of stone and gravel,30000,6.2
2012,Construction,5030000,6.385714286
2012,Manufacture of food,1310000,5.714285714
2012,"Manufacture of beverages, tobacco and feed",140000,6.042857143
2012,Manufacture of textile mill products,500000,5.685714286
2012,"Manufacture of lumber and wood products, except furniture",140000,6.042857143
2012,Manufacture of furniture and fixtures,170000,6.2
2012,"Manufacture of pulp, paper and paper products",240000,5.828571429
2012,Printing and allied industries,460000,6.357142857
2012,Manufacture of chemical and allied products,560000,5.971428571
2012,Manufacture of petroleum and coal products,40000,5.985714286
2012,"Manufacture of plastic products, except otherwise classified",440000,5.842857143
2012,Manufacture of rubber products,160000,5.885714286
2012,"Manufacture of leather tanning, leather products and fur skins",60000,5.685714286
