tier1,tier2,hours_per_day
working hours,working hours,2.6
"outside working hours, work related","outside working hours, work related",0.43
homemaking,homemaking,2.9
"education, training","education, training",1.2
"work on the farm, cottage, gardens","work on the farm, cottage, gardens",0.47
education of children,education of children,0.25
leisure time,leisure time,5.25
satisfaction of physiological needs,satisfaction of physiological needs,10.75
help relatives and friends,help relatives and friends,0.12
"other time-consuming, not specified about","other time-consuming, not specified about",0.03
