tier1,tier2,hours_per_day
Employment for establishments,Wage & salary employment,0.65564834
Employment for establishments,"Out workers, contractors for establishment",0.002832468
Employment for establishments,Home-based work for an establishment,0.000770575
Employment for establishments,Paid domestic work,0.024849091
Employment for establishments,Unpaid employment in establishment,0.019505401
Employment for establishments,Work as employer/self-employed,0.11319847
Employment for establishments,Construction work/infrastructure,0.038343903
Employment for establishments,"Work in apprenticeship, in ternship & related activities",0.020967695
Employment for establishments,Short breaks from work,0.012660308
Employment for establishments,Seeking employment & related activities,0.007181106
Employment for establishments,Travel to/ from work seek employment in establishment,0.147396015
Employment for establishments,Waiting for employment for establishment,0.001450387
Employment for establishments,Employment in establishment n.e.c,0.003247708
Primary production activities not for establishments,Crop farming & market gardening,0.595173728
Primary production activities not for establishments,Kitchen gardening-backyard cultivation,0.002595923
Primary production activities not for establishments,Tending animals & fish farming,0.383266887
Primary production activities not for establishments,"Hunting , fishing,  gathering wild products",0.012534875
Primary production activities not for establishments,"Collecting fuel, fire wood or dung",0.035948746
Primary production activities not for establishments,"Digging, stone cutting, splitting  & carving",0.001742657
Primary production activities not for establishments,Collecting water,0.029235979
Primary production activities not for establishments,Purchase & sale primary production,0.000695413
Primary production activities not for establishments,Sales of products from primary production,0.003030169
Primary production activities not for establishments,Travel related to primary production,0.198451584
Primary production activities not for establishments,Waiting for primary production not for establishment,0.000274989
Primary production activities not for establishments,Primary production n.e.c,0.014408115
Services for income and other production of goods not for establishments,Food processing & preservation activities,0.002247034
Services for income and other production of goods not for establishments,Preparing food & beverage,0.010679263
Services for income and other production of goods not for establishments,"Selling food & beverage, baking, confectionery",0.018689083
Services for income and other production of goods not for establishments,Making & selling textiles & craft,0.168893147
Services for income and other production of goods not for establishments,Leather and other craft,0.042463965
Services for income and other production of goods not for establishments,Building & extension of dwelling,0.133703968
Services for income and other production of goods not for establishments,Petty trading & door-to-door vending,0.26176077
Services for income and other production of goods not for establishments,"Fitting, maintaining tools & machinery",0.035959378
Services for income and other production of goods not for establishments,Provision of services for income,0.089198461
Services for income and other production of goods not for establishments,Travel related to non-establishment,0.100211756
Services for income and other production of goods not for establishments,Waiting for services for income & other production not for establishment,0.000392519
Services for income and other production of goods not for establishments,Services for income non-establishment production n.e.c,0.074541755
"Household maintenance, management and shopping for own household",Preparing food and cooking,0.075184774
"Household maintenance, management and shopping for own household","Preparing food (e.g. grinding, milling etc)",0.464994535
"Household maintenance, management and shopping for own household","Cooking, making drinks & serving",0.537433148
"Household maintenance, management and shopping for own household",Cleaning up after meal,0.261849646
"Household maintenance, management and shopping for own household",Cleaning & upkeep of dwelling,0.379804081
