year,economicActivity,employment,hours_worked
2018,"agriculture, forestry, hunting, fishing and fish farming",5730000,4.351048316
2018,mining,1160000,4.82994804
2018,manufacturing industries,10501000,4.935472551
2018,"provision of electrical energy, gas and steam; air conditioning",1675000,4.888979759
2018,"water supply; sewerage, organization; collection and disposal of waste, activities to eliminate pollution",763000,4.958796388
2018,construction,6780000,5.20709581
2018,wholesale and retail trade; repairs motor vehicles and motorcycles,14822000,5.116237803
2018,transportation and storage,5731000,4.991359179
2018,hotel and business activities; catering,1840000,5.102739726
2018,activities in the field of information and communication,1681000,4.628686447
2018,financial and insurance activities,1645000,4.493483782
2018,real estate transactions property,2308000,4.629519717
2018,"professional, scientific and technical activity",3258000,4.941261552
2018,administrative activities and related additional services,2089000,4.620418762
2018,"public administration and provision, military security; social Security",3790000,4.859941446
2018,education,6045000,4.383108422
2018,health care activities and social services,4810000,4.715632387
2018,"activities in the field of culture, sports, organization of leisure and entertainment",1342000,4.568932078
2018,provision of other types of services,1856000,4.888993859
