tier1,tier2,hours_per_day
SNA Activities,Formal sector work,1.85
SNA Activities,Work for household in primary production activities,1.17
SNA Activities,Work for household in non-primary production activities,0.23
SNA Activities,Work for household in construction activities,0.16
SNA Activities,Work for household providing services for income,1.06
Non-SNA Activities,Providing unpaid domestic services for own final use within household,1.55
Non-SNA Activities,Providing unpaid caregiving services to household members,0.35
Non-SNA Activities,Providing community services and help to other households,0.04
Non-SNA Activities,Learning,0.95
Other Non-productive Activities,Socializing and community participation,0.82
Other Non-productive Activities,"Attending/visiting cultural, entertainment and sports events/venues",0.02
Other Non-productive Activities,"Hobbies, games and other parttime activities",0.23
Other Non-productive Activities,Indoor and outdoor sports participation and related courses,0.12
Other Non-productive Activities,Mass media,2.88
Other Non-productive Activities,Personal care and maintenance,12.57
