tier1,tier2,hours_per_day
SNA Production Activities,"Work for corporations, quasi-corporations, non-profit institution and government",0.666666667
SNA Production Activities,Work for household in primary production activities,1.316666667
SNA Production Activities,Work for household in non-primary production activities,0.033333333
SNA Production Activities,Work for household in construction activities,0.033333333
SNA Production Activities,Work for household providing services for income,2.383333333
Extended SNA,Providing unpaid domestic services for own final use within household,2.1
Extended SNA,Providing unpaid care giving services to household members,0.416666667
Extended SNA,Providing community services and help to other households,0.033333333
Non-productive activities,Learning,1.3
Non-productive activities,Socializing and community participation,0.716666667
Non-productive activities,"Attending, visiting cultural, entertainment and sports event",0.033333333
Non-productive activities,"Hobbies, games and other pastime activities",0.566666667
Non-productive activities,Indoor and outdoor sports participation and related courses,0.033333333
Non-productive activities,Mass media,0.55
Non-productive activities,Personal care and maintenance,13.81666667
