tier1,tier2,hours_per_day
Employment for establishments,Wage & salary employment,1.591118797
Employment for establishments,Home-based work establishment,0.008103366
Employment for establishments,Paid domestic work,0.094057197
Employment for establishments,Unpaid employment in establishment,0.00849312
Employment for establishments,Work as employer/self-employed,0.155001629
Employment for establishments,Work in apprenticeship,0.005439005
Employment for establishments,Short break from work,0.079111629
Employment for establishments,Seeking employment,0.04653608
Employment for establishments,Travel to work/from work and seeking employment,0.370631877
Employment for establishments,Waiting for establishment work travel,0.014903376
Employment for establishments,"Employment in establishment, n.e.c*",0.001874828
Primary production activities not for establishments,Crop farming,0.109546666
Primary production activities not for establishments,Tending animals and fish farming,0.056869355
Primary production activities not for establishments,Hunting & gathering wild products,0.005496654
Primary production activities not for establishments,Collecting fuel,0.028049728
Primary production activities not for establishments,"Digging, stone cutting & carving",0.006843873
Primary production activities not for establishments,Collecting water,0.048110969
Primary production activities not for establishments,Purchase & sale primary production,0.005357963
Primary production activities not for establishments,Travel related to primary production activities,0.029967165
Primary production activities not for establishments,Waiting for primary production travel,0.000135349
Primary production activities not for establishments,"Primary production, n.e.c",0.003905891
Services for income and other production of goods not for establishments,Food processing & preservation,0.010993308
Services for income and other production of goods not for establishments,Preparing & selling food & beverage,0.020678246
Services for income and other production of goods not for establishments,Making & selling textiles & craft,0.02037037
Services for income and other production of goods not for establishments,Build & extension of dwelling,0.023348456
Services for income and other production of goods not for establishments,Petty trading & door to door,0.052716996
Services for income and other production of goods not for establishments,"Fitting, maintaining tools & machinery",0.008383254
Services for income and other production of goods not for establishments,Provision of services for income,0.013334336
Services for income and other production of goods not for establishments,"Travel related to services for income and other
production of goods",0.016383855
Services for income and other production of goods not for establishments,Waiting for non-establishment travel,0.000315813
Services for income and other production of goods not for establishments,"Non-establishment production, n.e.c*",0.006418194
"Household maintenance, management and shopping for own household",Preparing food & drink,0.965053764
"Household maintenance, management and shopping for own household",Cleaning and upkeep of dwelling,0.701640057
"Household maintenance, management and shopping for own household",Care of textile,0.293706294
"Household maintenance, management and shopping for own household",Shopping for personal & household goods,0.146176404
"Household maintenance, management and shopping for own household",Accessing government services,0.003247529
"Household maintenance, management and shopping for own household",Waiting to access government service,0.011110276
"Household maintenance, management and shopping for own household",Household management,0.005293631
"Household maintenance, management and shopping for own household",D-I-Y home improvements,0.045849312
"Household maintenance, management and shopping for own household",Pet care,0.011287398
"Household maintenance, management and shopping for own household",Travel related to household maintenance,0.117084827
"Household maintenance, management and shopping for own household",Household maintenance n.e.c,0.008568313
"Household maintenance, management and shopping for own household",Chopping wood not for cooking,0.081501533
"Care for children, the sick, elderly and idsabled for own household",Physical care of children: spontaneous,0.216444845
"Care for children, the sick, elderly and idsabled for own household",Physical care of children: prompted,0.007064023
"Care for children, the sick, elderly and idsabled for own household",Teaching of household children: spontaneous,0.005572683
"Care for children, the sick, elderly and idsabled for own household",Teaching of household children: prompted,0.000190073
"Care for children, the sick, elderly and idsabled for own household",Accompanying children: spontaneous,0.007649698
"Care for children, the sick, elderly and idsabled for own household",Accompanying children: prompted,0.001969655
"Care for children, the sick, elderly and idsabled for own household",Physical care of non-child household members,0.011579818
"Care for children, the sick, elderly and idsabled for own household",Accompanying adults,0.00196506
"Care for children, the sick, elderly and idsabled for own household",Supervising those needing care: spontaneous,0.008281742
"Care for children, the sick, elderly and idsabled for own household",Supervising those needing care: prompted,0.000444478
"Care for children, the sick, elderly and idsabled for own household",Travel related to care,0.021659941
"Care for children, the sick, elderly and idsabled for own household",Care of household members: n.e.c,0.003108003
Community services and help to other households,Community organised construction,0.005837949
Community services and help to other households,Cleaning of classrooms,0.001985529
Community services and help to other households,Community organised work,0.007083239
Community services and help to other households,Organisational volunteering,0.003609294
Community services and help to other households,Participation in meetings,0.019763808
