countryName,sourceUnemp,ageRange,year,statusNoteUnemp,ageRangeNoteUnemp,indicatorNoteUnemp,sourceNoteUnemp,unemployment,countryISO3
Aruba,LFS - Labour Force Survey,"Age (Youth, adults): 15+",2007,,Nonstandard age group: Excluding ages 75+,,Data reference period: October,3123.0,ABW
Aruba,LFS - Labour Force Survey,"Age (Youth, adults): 15-64",2007,,,,Data reference period: October,3088.0,ABW
Aruba,LFS - Labour Force Survey,"Age (Youth, adults): 15-24",2007,,,,Data reference period: October,1378.0,ABW
Aruba,LFS - Labour Force Survey,"Age (Youth, adults): 25+",2007,,Nonstandard age group: Excluding ages 75+,,Data reference period: October,1745.0,ABW
Aruba,LFS - Labour Force Survey,Age (Aggregate bands): Total,2007,,,,Data reference period: October,3123.0,ABW
Aruba,LFS - Labour Force Survey,Age (Aggregate bands): 15-24,2007,,,,Data reference period: October,1378.0,ABW
Aruba,LFS - Labour Force Survey,Age (Aggregate bands): 25-54,2007,,,,Data reference period: October,1519.0,ABW
Aruba,LFS - Labour Force Survey,Age (Aggregate bands): 55-64,2007,,,,Data reference period: October,191.0,ABW
Aruba,LFS - Labour Force Survey,Age (Aggregate bands): 65+,2007,,Nonstandard age group: Excluding ages 75+,,Data reference period: October,35.0,ABW
Aruba,LFS - Labour Force Survey,Age (10-year bands): Total,2007,,,,Data reference period: October,3123.0,ABW
Aruba,LFS - Labour Force Survey,Age (10-year bands): 15-24,2007,,,,Data reference period: October,1378.0,ABW
Aruba,LFS - Labour Force Survey,Age (10-year bands): 25-34,2007,,,,Data reference period: October,406.0,ABW
Aruba,LFS - Labour Force Survey,Age (10-year bands): 35-44,2007,,,,Data reference period: October,572.0,ABW
Aruba,LFS - Labour Force Survey,Age (10-year bands): 45-54,2007,,,,Data reference period: October,541.0,ABW
Aruba,LFS - Labour Force Survey,Age (10-year bands): 55-64,2007,,,,Data reference period: October,191.0,ABW
Aruba,LFS - Labour Force Survey,Age (10-year bands): 65+,2007,,Nonstandard age group: Excluding ages 75+,,Data reference period: October,35.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): Total,2007,,,,Data reference period: October,3123.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 15-19,2007,,,,Data reference period: October,643.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 20-24,2007,,,,Data reference period: October,735.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 25-29,2007,,,,Data reference period: October,239.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 30-34,2007,,,,Data reference period: October,167.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 35-39,2007,,,,Data reference period: October,321.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 40-44,2007,,,,Data reference period: October,251.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 45-49,2007,,,,Data reference period: October,316.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 50-54,2007,,,,Data reference period: October,225.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 55-59,2007,,,,Data reference period: October,155.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 60-64,2007,,,,Data reference period: October,36.0,ABW
Aruba,LFS - Labour Force Survey,Age (5-year bands): 65+,2007,,Nonstandard age group: Excluding ages 75+,,Data reference period: October,35.0,ABW
Aruba,LFS - Labour Force Survey,"Age (Youth, adults): 15+",2001,,,,,3118.0,ABW
Aruba,PC - Population and Housing Census,"Age (Youth, adults): 15+",2010,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old,5519.0,ABW
Aruba,PC - Population and Housing Census,"Age (Youth, adults): 15-64",2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,5433.0,ABW
Aruba,PC - Population and Housing Census,"Age (Youth, adults): 15-24",2010,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old,1345.0,ABW
Aruba,PC - Population and Housing Census,"Age (Youth, adults): 25+",2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,4174.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): Total,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,5519.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): 15-24,2010,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old,1345.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): 25-54,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,3528.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): 55-64,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,560.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): 65+,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,86.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): Total,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,5519.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 15-24,2010,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old,1345.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 25-34,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,1175.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 35-44,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,1110.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 45-54,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,1243.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 55-64,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,560.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 65+,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,86.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): Total,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,5519.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 15-19,2010,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old,541.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 20-24,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,804.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 25-29,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,603.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 30-34,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,572.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 35-39,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,534.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 40-44,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,576.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 45-49,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,678.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 50-54,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,565.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 55-59,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,386.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 60-64,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,174.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 65+,2010,,,,Data reference period: September | Age coverage - minimum age: 14 years old,86.0,ABW
Aruba,PC - Population and Housing Census,"Age (Youth, adults): 15+",2000,,,,Data reference period: October,3118.0,ABW
Aruba,PC - Population and Housing Census,"Age (Youth, adults): 15-64",2000,,,,Data reference period: October,3098.0,ABW
Aruba,PC - Population and Housing Census,"Age (Youth, adults): 15-24",2000,,,,Data reference period: October,728.0,ABW
Aruba,PC - Population and Housing Census,"Age (Youth, adults): 25+",2000,,,,Data reference period: October,2390.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): Total,2000,,,,Data reference period: October,3117.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): 15-24,2000,,,,Data reference period: October,728.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): 25-54,2000,,,,Data reference period: October,2206.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): 55-64,2000,,,,Data reference period: October,164.0,ABW
Aruba,PC - Population and Housing Census,Age (Aggregate bands): 65+,2000,,,,Data reference period: October,20.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): Total,2000,,,,Data reference period: October,3117.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 15-24,2000,,,,Data reference period: October,728.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 25-34,2000,,,,Data reference period: October,813.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 35-44,2000,,,,Data reference period: October,881.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 45-54,2000,,,,Data reference period: October,512.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 55-64,2000,,,,Data reference period: October,164.0,ABW
Aruba,PC - Population and Housing Census,Age (10-year bands): 65+,2000,,,,Data reference period: October,20.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): Total,2000,,,,Data reference period: October,3117.0,ABW
Aruba,PC - Population and Housing Census,Age (5-year bands): 15-19,2000,,,,Data reference period: October,230.0,ABW
