,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('AUS', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('AUS', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('AUS', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('AUS', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('AUS', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('AUS', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.277191,1.8348,0.8412594,0.1320248,0.9911426,2.2067911,2.2067911,,,
"('AUS', 6)",,,,,,,,,0.7778099,,9.7,1.1333,,,,0.8485,,2.277191,1.1619,1.6381956,0.2699249,0.7627155,2.0599533,3.3713977,,,
"('AUS', 7)",,,,,,,,,0.8040899,,9.4,1.1333,,,,0.8485,,2.277191,1.1619,1.6935456,0.2790449,0.7884855,2.1295533,3.4853077,,,
"('AUS', 8)",0.0807282,0.0092791,0.1531053,0.0046396,,,0.2217707,,0.4695229,,9.3,1.1333,0.229194,0.229194,0.0974306,0.8485,0.0148466,2.277191,1.1619,1.2730938,0.7720219,0.7571753,1.6331232,3.333056,,,
"('AUS', 9)",0.0811995,0.0086999,0.1962322,0.0048333,,,0.2213653,,0.5606633,,9.3,0.8979,0.2290986,0.2290986,0.0966661,0.8485,0.0144999,2.277191,1.0098,1.4577246,0.7829953,0.6118963,1.5263576,3.6452783,,,
"('AUS', 10)",0.0436612,0.009923,0.3701282,0.082361,,,0.1180838,,0.7174336,,9.1,0.7914,0.2073909,0.1230453,0.1885372,0.8485,0.0654919,2.277191,1.0599,1.2294608,0.6668262,0.9952778,1.5211973,3.5871678,,,
