,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('AUS', 0)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('AUS', 1)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('AUS', 2)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('AUS', 3)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('AUS', 4)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('AUS', 5)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 6)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 7)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 8)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 9)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 10)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 11)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 12)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 13)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 14)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 15)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 16)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 17)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('AUS', 18)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('NZL', 0)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('NZL', 1)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('NZL', 2)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('NZL', 3)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('NZL', 4)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('NZL', 5)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('NZL', 6)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('NZL', 7)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
"('NZL', 8)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.43237,0,0,0,0,0,0,0,0,0
